ticker,rows,start,end
PFE,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
JNJ,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
MRK,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
ABBV,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
BMY,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
LLY,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
MRNA,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
AMGN,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
GILD,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
REGN,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
BIIB,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
VRTX,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
MDT,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
BSX,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
SYK,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
UNH,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
CVS,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
CI,1256,2021-03-08 00:00:00,2026-03-06 00:00:00
